City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Avarua,CK,-21.2078,-159.775,77.18,78,65,11.79,broken clouds
80,Davila,PH,18.4726,120.5763,83.75,73,57,3.56,broken clouds
81,Mar Del Plata,AR,-38.0023,-57.5575,51.13,71,75,5.99,broken clouds
82,Beruwala,LK,6.4788,79.9828,78.4,88,100,8.01,overcast clouds
83,Mahebourg,MU,-20.4081,57.7,66.49,82,20,4.61,few clouds
84,Kruisfontein,ZA,-34.0033,24.7314,46.17,46,61,6.51,broken clouds
85,Rincon,US,32.296,-81.2354,85.12,65,20,8.05,few clouds
86,Riyadh,SA,24.6877,46.7219,86.14,17,85,4.34,overcast clouds
87,Puerto Ayora,EC,-0.7393,-90.3518,71.55,89,63,4.0,broken clouds
88,Bethel,US,41.3712,-73.414,80.89,84,52,4.5,broken clouds
89,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.07,90,37,14.34,scattered clouds
90,Montecristi,EC,-1.05,-80.6667,70.02,86,91,6.62,overcast clouds
91,Yeppoon,AU,-23.1333,150.7333,73.18,70,72,8.08,broken clouds
92,Trumbull,US,41.3167,-80.7665,79.95,65,75,3.44,broken clouds
93,Pimentel,PE,-6.8367,-79.9342,65.16,83,42,15.66,scattered clouds
94,Cap Malheureux,MU,-19.9842,57.6142,66.69,76,62,7.0,broken clouds
95,Lorengau,PG,-2.0226,147.2712,84.76,71,72,8.59,broken clouds
96,Nikolskoye,RU,59.7035,30.7861,71.49,91,100,0.98,overcast clouds
97,Hofn,IS,64.2539,-15.2082,52.56,65,58,8.14,broken clouds
98,Salalah,OM,17.0151,54.0924,80.69,89,75,8.05,broken clouds
99,Hirado,JP,33.3597,129.5531,79.95,81,30,4.25,scattered clouds
100,New Norfolk,AU,-42.7826,147.0587,50.92,90,75,2.86,light rain
101,East London,ZA,-33.0153,27.9116,52.77,52,0,7.34,clear sky
102,Northam,GB,51.0333,-4.2167,59.31,93,27,6.44,scattered clouds
103,Tocopilla,CL,-22.092,-70.1979,61.63,75,29,8.93,scattered clouds
104,Qaanaaq,GL,77.484,-69.3632,38.59,98,100,2.53,light rain
105,Cidreira,BR,-30.1811,-50.2056,61.7,82,42,10.11,scattered clouds
106,Elizabeth City,US,36.2946,-76.2511,89.65,73,1,6.91,clear sky
