City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
151,Vega De Alatorre,MX,79.75,overcast clouds,20.0333,-96.6333,El Polo Norte
154,Katobu,ID,76.28,overcast clouds,-4.9408,122.5276,La Ode Husein
157,Paralimni,CY,81.09,clear sky,35.0375,33.9833,Amore Hotel Apartments
161,Hamilton,US,83.59,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
163,Kahului,US,88.54,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
166,Johnson City,US,80.24,clear sky,36.3134,-82.3535,Hampton Inn Johnson City
167,Sinnamary,GF,78.03,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
168,Kikwit,CD,70.47,few clouds,-5.041,18.8162,HOTEL PLACE YALABA
169,Yellowknife,CA,74.32,overcast clouds,62.456,-114.3525,The Explorer Hotel
176,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
180,Kishi,NG,72.97,overcast clouds,9.0833,3.85,New NCCF KISI
183,Hobyo,SO,76.51,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
185,Fortuna,US,86.18,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
186,Cairns,AU,80.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
190,Half Moon Bay,US,88.75,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
193,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
195,Kavieng,PG,85.21,broken clouds,-2.5744,150.7967,Nusa Island Retreat
196,Kieta,PG,86.32,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
201,Kalmunai,LK,81.64,overcast clouds,7.4167,81.8167,VS Villa
203,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
206,Guerrero Negro,MX,75.58,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
207,Fukue,JP,84.56,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
209,Camalu,MX,74.71,clear sky,30.85,-116.0667,La Cueva del Pirata
210,Noumea,NC,73.99,few clouds,-22.2763,166.4572,Hôtel Le Lagon
212,Jambi,ID,71.02,light rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
215,Myitkyina,MM,75.24,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
217,Conceicao Do Araguaia,BR,77.22,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
223,Helong,CN,80.17,broken clouds,42.5397,128.9972,Helong Hotel
226,Kupang,ID,79.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
227,Kirakira,SB,84.78,broken clouds,-10.4544,161.9205,SanBiz Lodge
230,Russell,US,85.51,broken clouds,32.3502,-85.1999,Macs
233,Kotka,FI,70.86,scattered clouds,60.4664,26.9458,Merikotka
235,Itarema,BR,79.57,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
236,Westport,US,82.17,clear sky,41.1415,-73.3579,The Westport Inn
238,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
240,Mlonggo,ID,76.89,overcast clouds,-6.5333,110.7,Asia Metal Art
241,Storm Lake,US,74.89,overcast clouds,42.6411,-95.2097,King's Pointe Resort
243,Xihua,CN,79.34,heavy intensity rain,33.7833,114.5167,Home Inn
246,Tomigusuku,JP,86.14,broken clouds,26.185,127.675,Hotel Gran View Okinawa
249,Tura,IN,73.83,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
251,Nara,JP,78.96,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
257,Hoquiam,US,78.06,overcast clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
259,San Patricio,US,86.41,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
261,Mayo,US,85.57,clear sky,38.8876,-76.5119,Resorts Resource Group International
263,Ankola,IN,78.01,moderate rain,14.6667,74.3,Hotel Kamat Plus
265,Barmer,IN,83.23,overcast clouds,25.75,71.3833,OYO 71911 Hotel Amber Palace
266,Aswan,EG,86.85,overcast clouds,24.0934,32.907,Nuba Nile
269,San Matias,BO,78.93,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
271,Ambunti,PG,84.69,overcast clouds,-4.2365,142.8448,Ambunti Lodge
275,Katsuura,JP,81.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
276,Cedar City,US,85.19,scattered clouds,37.6775,-113.0619,Hampton Inn Cedar City
279,Lucea,JM,85.86,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
280,Komsomolskiy,UZ,74.12,few clouds,40.4272,71.7189,Ikathouse
282,Bom Jesus,BR,74.86,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
283,Vikindu,TZ,74.25,broken clouds,-7.0067,39.2985,RUTA GUEST HOUSE
284,Kathu,TH,83.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
285,Kutum,SD,77.13,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
