City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
256,256,Birao,CF,22.7882,22.7882,76.06,75,48,4.47,scattered clouds
258,258,Omboue,GA,9.2618,9.2618,75.49,96,100,5.77,overcast clouds
261,261,Marathon,US,-89.7668,-89.7668,78.75,60,1,11.01,clear sky
264,264,Aitape,PG,142.3475,142.3475,79.09,88,100,6.26,light rain
267,267,Pringsewu,ID,104.9744,104.9744,83.43,67,33,6.8,scattered clouds
268,268,Tifton,US,-83.5085,-83.5085,76.71,96,1,0.0,clear sky
271,271,Houma,US,-90.7195,-90.7195,77.0,93,40,5.75,scattered clouds
272,272,Kununurra,AU,128.7333,128.7333,82.38,23,7,6.91,clear sky
276,276,Mayo,US,-76.5119,-76.5119,83.26,82,1,1.01,clear sky
278,278,Murgab,TM,61.9714,61.9714,78.67,41,0,7.11,clear sky
279,279,Salalah,OM,54.0924,54.0924,82.49,94,75,2.3,broken clouds
280,280,Port Moresby,PG,147.1797,147.1797,81.36,75,100,8.48,light rain
284,284,Kudahuvadhoo,MV,72.8944,72.8944,82.78,72,30,15.23,scattered clouds
285,285,Sosua,DO,-70.5167,-70.5167,78.71,83,20,11.5,few clouds
286,286,Tema,GH,-0.0166,-0.0166,79.79,81,42,7.4,scattered clouds
287,287,Aripuana,BR,-60.6333,-60.6333,75.76,77,100,0.87,overcast clouds
294,294,Nerchinsk,RU,116.5833,116.5833,79.48,27,16,6.55,few clouds
295,295,Akyab,MM,92.9,92.9,83.26,81,100,7.94,overcast clouds
296,296,Urusha,RU,122.9,122.9,78.69,30,6,6.35,clear sky
314,314,Santa Rita,BR,-34.9781,-34.9781,75.87,94,40,4.61,scattered clouds
315,315,Labuan,MY,115.2417,115.2417,86.36,74,20,3.44,few clouds
318,318,Houston,US,-95.3633,-95.3633,84.13,79,1,4.0,clear sky
319,319,Bathsheba,BB,-59.5167,-59.5167,81.21,65,40,19.84,scattered clouds
320,320,Merauke,ID,140.3333,140.3333,80.78,78,96,12.73,overcast clouds
321,321,Chenzhou,CN,113.0333,113.0333,86.47,52,35,1.3,scattered clouds
325,325,Praia,CV,-23.5087,-23.5087,77.54,47,20,18.41,few clouds
329,329,Isangel,VU,169.2667,169.2667,77.11,61,75,11.39,broken clouds
330,330,Shache,CN,77.2406,77.2406,81.43,20,100,7.9,overcast clouds
333,333,Izumo,JP,132.7667,132.7667,84.15,54,0,8.03,clear sky
334,334,Victoria,HK,114.1577,114.1577,87.76,78,72,3.0,broken clouds
336,336,Virginia Beach,US,-75.97800000000001,-75.97800000000001,82.47,83,20,5.75,few clouds
340,340,The Valley,AI,-63.0578,-63.0578,80.46,76,100,19.37,overcast clouds
344,344,Nizwa,OM,57.5333,57.5333,83.75,57,5,3.44,clear sky
346,346,Sompeta,IN,84.6,84.6,88.56,68,96,11.59,overcast clouds
348,348,Kloulklubed,PW,134.2556,134.2556,77.5,77,100,9.08,moderate rain
